statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
114,新北市板橋區,549762,23.1373,23760.85369
114,新北市三重區,382778,16.317,23458.8466
114,新北市中和區,403791,20.144,20045.22438
114,新北市永和區,211536,5.7138,37021.94687
114,新北市新莊區,421239,19.7383,21341.1996
114,新北市新店區,306884,120.2255,2552.569962
114,新北市樹林區,177412,33.1288,5355.219628
114,新北市鶯歌區,89501,21.1248,4236.773839
114,新北市三峽區,115009,191.4508,600.7235279
114,新北市淡水區,208004,70.6565,2943.87636
114,新北市汐止區,212758,71.2354,2986.689202
114,新北市瑞芳區,35623,70.7336,503.622041
114,新北市土城區,242713,29.5578,8211.470407
114,新北市蘆洲區,196371,7.4351,26411.34618
114,新北市五股區,94717,34.8632,2716.818881
114,新北市泰山區,78083,19.1603,4075.249344
114,新北市林口區,138461,54.1519,2556.900127
114,新北市深坑區,23639,20.5787,1148.712018
114,新北市石碇區,6917,144.3498,47.91832064
114,新北市坪林區,6163,170.835,36.0757456
114,新北市三芝區,22061,65.9909,334.3036691
114,新北市石門區,9994,51.2645,194.9497215
114,新北市八里區,43495,39.4933,1101.326048
114,新北市平溪區,3900,71.3382,54.66916743
114,新北市雙溪區,7442,146.2484,50.88602679
114,新北市貢寮區,10445,99.9734,104.4777911
114,新北市金山區,19725,49.2132,400.8071005
114,新北市萬里區,20209,63.3766,318.871634
114,新北市烏來區,6199,321.1306,19.30367271
114,臺北市松山區,187318,9.2878,20168.17761
114,臺北市信義區,201446,11.2077,17973.89295
114,臺北市大安區,282328,11.3614,24849.75443
114,臺北市中山區,212152,13.6821,15505.80686
114,臺北市中正區,144109,7.6071,18944.01283
114,臺北市大同區,116618,5.6815,20525.91745
114,臺北市萬華區,168675,8.8522,19054.5853
114,臺北市文山區,253822,31.509,8055.539687
114,臺北市南港區,111239,21.8424,5092.801157
114,臺北市內湖區,267959,31.5787,8485.434803
114,臺北市士林區,258163,62.3682,4139.337034
114,臺北市北投區,235678,56.8216,4147.683275
114,桃園市桃園區,478487,34.8046,13747.8092
114,桃園市中壢區,439213,76.52,5739.845792
114,桃園市大溪區,93799,105.1206,892.2989405
114,桃園市楊梅區,182837,89.1229,2051.515379
114,桃園市蘆竹區,170556,75.5025,2258.945068
114,桃園市大園區,89713,87.3925,1026.552622
114,桃園市龜山區,188328,72.0177,2615.023807
114,桃園市八德區,216058,33.7111,6409.105606
114,桃園市龍潭區,127360,75.2341,1692.849386
114,桃園市平鎮區,228210,47.7532,4778.946751
114,桃園市新屋區,49723,85.0166,584.8622504
114,桃園市觀音區,77526,87.9807,881.1705294
114,桃園市復興區,13296,350.7775,37.90436958
114,臺中市中區,18029,0.8803,20480.51801
114,臺中市東區,77745,9.2855,8372.731678
114,臺中市南區,128309,6.8101,18840.98618
114,臺中市西區,113288,5.7042,19860.4537
114,臺中市北區,143537,6.9376,20689.71979
114,臺中市西屯區,238052,39.8467,5974.196107
114,臺中市南屯區,186105,31.2578,5953.873913
114,臺中市北屯區,317182,62.7034,5058.449781
114,臺中市豐原區,161771,41.1845,3927.958334
114,臺中市東勢區,46488,117.4065,395.9576344
114,臺中市大甲區,73108,58.5192,1249.299375
114,臺中市清水區,90640,64.1709,1412.478242
114,臺中市沙鹿區,101419,40.4604,2506.623761
114,臺中市梧棲區,65685,16.6049,3955.760047
114,臺中市后里區,52754,58.9439,894.9865889
114,臺中市神岡區,63271,35.0445,1805.44736
114,臺中市潭子區,109314,25.8497,4228.830509
114,臺中市大雅區,94741,32.4109,2923.121542
114,臺中市新社區,22579,68.8874,327.7667614
114,臺中市石岡區,13668,18.2105,750.5559979
114,臺中市外埔區,30823,42.4099,726.7878491
114,臺中市大安區,17487,27.4045,638.1068803
114,臺中市烏日區,82248,43.4032,1894.975486
114,臺中市大肚區,55255,37.0024,1493.281517
114,臺中市龍井區,79241,38.0377,2083.222697
114,臺中市霧峰區,62627,98.0779,638.5434435
114,臺中市太平區,201536,120.7473,1669.072518
114,臺中市大里區,211094,28.8758,7310.412179
114,臺中市和平區,10469,1037.8192,10.08749886
114,臺南市新營區,74493,38.5386,1932.945151
114,臺南市鹽水區,23635,52.2455,452.3834589
114,臺南市白河區,24948,126.4046,197.3662351
114,臺南市柳營區,19831,61.2929,323.5448151
114,臺南市後壁區,20840,72.2189,288.5671202
114,臺南市東山區,18490,124.9178,148.0173362
114,臺南市麻豆區,42873,53.9744,794.3210114
114,臺南市下營區,21742,33.5291,648.4516435
114,臺南市六甲區,20880,67.5471,309.1176379
114,臺南市官田區,20527,70.7953,289.9486265
114,臺南市大內區,8427,70.3125,119.8506667
114,臺南市佳里區,58328,38.9422,1497.809574
114,臺南市學甲區,24365,53.9919,451.2713944
114,臺南市西港區,24811,33.7666,734.7793382
114,臺南市七股區,20493,110.1492,186.0476517
114,臺南市將軍區,17598,41.9796,419.2036132
114,臺南市北門區,9436,44.1003,213.9667984
114,臺南市新化區,41932,62.0579,675.6915719
114,臺南市善化區,53888,55.3097,974.295648
114,臺南市新市區,38279,47.8096,800.6550986
114,臺南市安定區,29783,31.27,952.4464343
114,臺南市山上區,6796,27.878,243.7764546
114,臺南市玉井區,12674,76.3662,165.963476
114,臺南市楠西區,8392,109.6316,76.54727287
114,臺南市南化區,7606,171.5198,44.34473454
114,臺南市左鎮區,4095,74.9025,54.67107239
114,臺南市仁德區,77496,50.7664,1526.521479
114,臺南市歸仁區,70574,55.7913,1264.964251
114,臺南市關廟區,33198,53.6413,618.888804
114,臺南市龍崎區,3234,64.0814,50.46706221
114,臺南市永康區,235805,40.2753,5854.829138
114,臺南市東區,180856,13.4156,13481.02209
114,臺南市南區,119121,27.2681,4368.511191
114,臺南市北區,125439,10.434,12022.13916
114,臺南市安南區,204534,107.2016,1907.937941
114,臺南市安平區,71256,11.0663,6439.008521
114,臺南市中西區,75802,6.26,12108.94569
114,高雄市鹽埕區,21871,1.4161,15444.53075
114,高雄市鼓山區,140791,14.7523,9543.664378
114,高雄市左營區,197621,19.3823,10195.95198
114,高雄市楠梓區,195613,25.8276,7573.797023
114,高雄市三民區,328827,19.7866,16618.67122
114,高雄市新興區,49380,1.9764,24984.82089
114,高雄市前金區,27670,1.8573,14897.97017
114,高雄市苓雅區,161185,8.1522,19771.9634
114,高雄市前鎮區,176845,19.1207,9248.876872
114,高雄市旗津區,24906,1.7341,14362.49351
114,高雄市小港區,153310,45.4426,3373.70661
114,高雄市鳳山區,353000,26.759,13191.82331
114,高雄市林園區,67341,32.286,2085.764728
114,高雄市大寮區,112239,71.04,1579.940878
114,高雄市大樹區,39906,66.9811,595.7800036
114,高雄市大社區,33741,26.5848,1269.183895
114,高雄市仁武區,100311,36.0808,2780.176714
114,高雄市鳥松區,43703,24.5927,1777.072058
114,高雄市岡山區,94624,47.9421,1973.714126
114,高雄市橋頭區,43341,25.9379,1670.952544
114,高雄市燕巢區,28348,65.395,433.4887988
114,高雄市田寮區,6125,92.6802,66.08747068
114,高雄市阿蓮區,26785,34.6164,773.7661917
114,高雄市路竹區,48906,48.4348,1009.728542
114,高雄市湖內區,29295,20.1615,1453.016889
114,高雄市茄萣區,28732,15.7624,1822.81886
114,高雄市永安區,13510,22.6141,597.4148872
114,高雄市彌陀區,17715,14.7772,1198.806269
114,高雄市梓官區,34701,11.5967,2992.31678
114,高雄市旗山區,33368,94.6122,352.6817895
114,高雄市美濃區,36074,120.0316,300.5375251
114,高雄市六龜區,11286,194.1584,58.12779669
114,高雄市甲仙區,5279,124.034,42.56091072
114,高雄市杉林區,10569,104.0036,101.6214823
114,高雄市內門區,12519,95.6224,130.9212067
114,高雄市茂林區,1846,194,9.515463918
114,高雄市桃源區,4151,928.98,4.468341622
114,高雄市那瑪夏區,3111,252.9895,12.29695304
114,宜蘭縣宜蘭市,94561,29.408,3215.485582
114,宜蘭縣羅東鎮,68960,11.3448,6078.555814
114,宜蘭縣蘇澳鎮,36413,89.0196,409.0447497
114,宜蘭縣頭城鎮,27868,100.893,276.2134142
114,宜蘭縣礁溪鄉,36629,101.4278,361.1337326
114,宜蘭縣壯圍鄉,24479,38.4769,636.1999018
114,宜蘭縣員山鄉,32226,111.9106,287.9619982
114,宜蘭縣冬山鄉,52938,79.8573,662.9074612
114,宜蘭縣五結鄉,41737,38.8671,1073.838799
114,宜蘭縣三星鄉,21356,144.2238,148.0754217
114,宜蘭縣大同鄉,5998,657.5442,9.121820252
114,宜蘭縣南澳鄉,6171,740.652,8.331848155
114,新竹縣竹北市,220973,46.8341,4718.20746
114,新竹縣關西鎮,26011,125.5193,207.2270958
114,新竹縣新埔鎮,33561,72.1911,464.8911015
114,新竹縣竹東鎮,97894,53.5133,1829.339622
114,新竹縣湖口鄉,84963,58.4303,1454.091456
114,新竹縣橫山鄉,11901,66.3502,179.3664526
114,新竹縣新豐鄉,59839,46.3496,1291.035953
114,新竹縣芎林鄉,20385,40.7858,499.8063051
114,新竹縣寶山鄉,14588,64.7871,225.168282
114,新竹縣北埔鄉,8289,50.6676,163.5956706
114,新竹縣峨眉鄉,4970,46.801,106.1943121
114,新竹縣尖石鄉,9464,527.5795,17.9385287
114,新竹縣五峰鄉,4397,227.728,19.30812197
114,苗栗縣苗栗市,85838,37.8878,2265.584172
114,苗栗縣頭份市,108231,53.3205,2029.819675
114,苗栗縣苑裡鎮,43237,68.2473,633.5342204
114,苗栗縣通霄鎮,30618,107.8486,283.8979829
114,苗栗縣竹南鎮,91538,37.5592,2437.165861
114,苗栗縣後龍鎮,33531,75.8079,442.3153787
114,苗栗縣卓蘭鎮,14483,76.3153,189.7784586
114,苗栗縣大湖鄉,12310,90.8396,135.5135866
114,苗栗縣公館鄉,30461,71.4523,426.312379
114,苗栗縣銅鑼鄉,16079,78.3805,205.1403091
114,苗栗縣南庄鄉,8576,165.4938,51.82067244
114,苗栗縣頭屋鄉,9354,52.5046,178.1558187
114,苗栗縣三義鄉,14485,69.3424,208.8909527
114,苗栗縣西湖鄉,5875,41.0758,143.0282551
114,苗栗縣造橋鄉,11548,47.9978,240.5943606
114,苗栗縣三灣鄉,5664,52.2964,108.3057342
114,苗栗縣獅潭鄉,3943,79.4324,49.63969363
114,苗栗縣泰安鄉,5401,614.5127,8.789077915
114,彰化縣彰化市,220487,65.6947,3356.237261
114,彰化縣員林市,122148,40.038,3050.801738
114,彰化縣鹿港鎮,82212,39.4625,2083.294267
114,彰化縣和美鎮,86635,39.9345,2169.427437
114,彰化縣北斗鎮,33099,19.2547,1719.008865
114,彰化縣溪湖鎮,52832,32.0592,1647.95129
114,彰化縣田中鎮,38273,34.6056,1105.977067
114,彰化縣二林鎮,46419,92.8478,499.9472255
114,彰化縣線西鄉,16014,18.0856,885.4558323
114,彰化縣伸港鄉,38146,22.3268,1708.529659
114,彰化縣福興鄉,44284,49.8934,887.5723042
114,彰化縣秀水鄉,37356,29.3447,1273.00671
114,彰化縣花壇鄉,42816,36.3469,1177.982166
114,彰化縣芬園鄉,21334,38.0204,561.1198199
114,彰化縣大村鄉,38919,30.7837,1264.272976
114,彰化縣埔鹽鄉,30041,38.6081,778.1009684
114,彰化縣埔心鄉,33082,20.9526,1578.89713
114,彰化縣永靖鄉,34177,20.6382,1656.006822
114,彰化縣社頭鄉,40272,36.1449,1114.182084
114,彰化縣二水鄉,13220,29.4449,448.9741857
114,彰化縣田尾鄉,25251,24.0375,1050.483619
114,彰化縣埤頭鄉,27997,42.7508,654.8883296
114,彰化縣芳苑鄉,29880,91.3827,326.9765503
114,彰化縣大城鄉,14146,63.7406,221.9307631
114,彰化縣竹塘鄉,13918,42.1662,330.0747992
114,彰化縣溪州鄉,27248,75.831,359.3253419
114,南投縣南投市,96229,71.6021,1343.94103
114,南投縣埔里鎮,75613,162.2227,466.1061615
114,南投縣草屯鎮,97724,104.0327,939.3584902
114,南投縣竹山鎮,49905,247.3339,201.7717749
114,南投縣集集鎮,9882,49.7268,198.725838
114,南投縣名間鄉,34557,83.0955,415.8708955
114,南投縣鹿谷鄉,15454,141.8981,108.9091397
114,南投縣中寮鄉,12825,146.6541,87.45067475
114,南投縣魚池鄉,14098,121.3735,116.1538557
114,南投縣國姓鄉,15963,175.7042,90.8515562
114,南投縣水里鄉,15452,106.8424,144.6242316
114,南投縣信義鄉,14886,1422.4188,10.46527225
114,南投縣仁愛鄉,15293,1273.5312,12.00834342
114,雲林縣斗六市,109030,93.7151,1163.419769
114,雲林縣斗南鎮,43322,48.1505,899.7206675
114,雲林縣虎尾鎮,71349,68.742,1037.924413
114,雲林縣西螺鎮,43975,49.7985,883.0587267
114,雲林縣土庫鎮,27234,49.0212,555.5555556
114,雲林縣北港鎮,37053,41.4999,892.8455249
114,雲林縣古坑鄉,29193,166.6059,175.2218859
114,雲林縣大埤鄉,17521,44.9973,389.3789183
114,雲林縣莿桐鄉,27201,50.8502,534.9241498
114,雲林縣林內鄉,16285,37.6035,433.0713896
114,雲林縣二崙鄉,24165,59.5625,405.7082896
114,雲林縣崙背鄉,22255,58.484,380.5314274
114,雲林縣麥寮鄉,48815,80.1668,608.9179062
114,雲林縣東勢鄉,12885,48.3562,266.4601437
114,雲林縣褒忠鄉,11490,37.0552,310.0779378
114,雲林縣臺西鄉,20778,54.0983,384.0786125
114,雲林縣元長鄉,22478,71.5872,313.9946806
114,雲林縣四湖鄉,20210,77.1189,262.0628666
114,雲林縣口湖鄉,23945,80.4612,297.5968541
114,雲林縣水林鄉,21805,72.9582,298.8697638
114,嘉義縣太保市,39923,66.8964,596.7884669
114,嘉義縣朴子市,39950,49.5737,805.8708549
114,嘉義縣布袋鎮,23589,61.7307,382.1275314
114,嘉義縣大林鎮,29542,64.1663,460.397436
114,嘉義縣民雄鄉,69716,85.4969,815.4213779
114,嘉義縣溪口鄉,12604,33.0463,381.4042722
114,嘉義縣新港鄉,29006,66.0495,439.1554819
114,嘉義縣六腳鄉,20044,62.2619,321.9304262
114,嘉義縣東石鄉,21671,81.5821,265.6342507
114,嘉義縣義竹鄉,15829,79.2925,199.6279598
114,嘉義縣鹿草鄉,13460,54.3151,247.8132232
114,嘉義縣水上鄉,46932,69.1198,678.9950202
114,嘉義縣中埔鄉,41673,129.5016,321.795252
114,嘉義縣竹崎鄉,32160,162.2256,198.2424476
114,嘉義縣梅山鄉,17177,119.7571,143.4319969
114,嘉義縣番路鄉,10582,117.5269,90.03896129
114,嘉義縣大埔鄉,4160,173.2472,24.01193208
114,嘉義縣阿里山鄉,5163,427.8471,12.0673951
114,屏東縣屏東市,191466,65.067,2942.59763
114,屏東縣潮州鎮,53723,42.4331,1266.063521
114,屏東縣東港鎮,45879,29.4635,1557.146978
114,屏東縣恆春鎮,28770,136.763,210.3639142
114,屏東縣萬丹鄉,48586,57.4679,845.4458924
114,屏東縣長治鄉,29192,39.8861,731.8840398
114,屏東縣麟洛鄉,10406,16.26,639.9753998
114,屏東縣九如鄉,21420,42.0187,509.7730296
114,屏東縣里港鄉,24948,68.9208,361.9807083
114,屏東縣鹽埔鄉,23106,64.3493,359.0715051
114,屏東縣高樹鄉,21935,90.1522,243.3107567
114,屏東縣萬巒鄉,18654,60.7315,307.1552654
114,屏東縣內埔鄉,52760,81.8554,644.5512452
114,屏東縣竹田鄉,15363,29.0732,528.4248036
114,屏東縣新埤鄉,8983,59.0102,152.2279199
114,屏東縣枋寮鄉,22321,57.7347,386.6132499
114,屏東縣新園鄉,31703,38.3109,827.5190612
114,屏東縣崁頂鄉,14459,31.2659,462.4527041
114,屏東縣林邊鄉,15821,15.6233,1012.654177
114,屏東縣南州鄉,9600,18.97,506.0622035
114,屏東縣佳冬鄉,17323,30.9842,559.0914079
114,屏東縣琉球鄉,12076,6.8018,1775.412391
114,屏東縣車城鄉,7694,49.8517,154.3377658
114,屏東縣滿州鄉,6927,142.2013,48.71263484
114,屏東縣枋山鄉,4905,17.2697,284.0234631
114,屏東縣三地門鄉,7598,196.3965,38.68704381
114,屏東縣霧臺鄉,3166,278.796,11.35597354
114,屏東縣瑪家鄉,6647,78.7008,84.45911604
114,屏東縣泰武鄉,5190,118.6266,43.75072707
114,屏東縣來義鄉,7282,167.7756,43.40321239
114,屏東縣春日鄉,4857,160.001,30.35606027
114,屏東縣獅子鄉,4825,301.0018,16.02980447
114,屏東縣牡丹鄉,4671,181.8366,25.68789782
114,臺東縣臺東市,102681,109.7691,935.4271831
114,臺東縣成功鎮,12754,143.9939,88.5731965
114,臺東縣關山鎮,7757,58.7351,132.0675371
114,臺東縣卑南鄉,16264,412.6871,39.41000337
114,臺東縣大武鄉,5327,69.1454,77.04055512
114,臺東縣太麻里鄉,10375,96.6523,107.3435397
114,臺東縣東河鄉,7710,210.1908,36.68095844
114,臺東縣長濱鄉,6469,155.1868,41.68524643
114,臺東縣鹿野鄉,6924,89.698,77.19235657
114,臺東縣池上鄉,7529,82.6854,91.05597844
114,臺東縣綠島鄉,4327,15.0919,286.7100895
114,臺東縣延平鄉,3547,455.8805,7.780547753
114,臺東縣海端鄉,4317,880.0382,4.905468876
114,臺東縣達仁鄉,3437,306.4454,11.21570107
114,臺東縣金峰鄉,3682,380.6635,9.672584842
114,臺東縣蘭嶼鄉,5220,48.3892,107.875311
114,花蓮縣花蓮市,96860,29.4095,3293.493599
114,花蓮縣鳳林鎮,10136,120.5181,84.10354959
114,花蓮縣玉里鎮,21277,252.3719,84.3081183
114,花蓮縣新城鄉,20492,29.4095,696.7816522
114,花蓮縣吉安鄉,83004,65.2582,1271.93211
114,花蓮縣壽豐鄉,16628,218.4448,76.11991679
114,花蓮縣光復鄉,11478,157.11,73.05709376
114,花蓮縣豐濱鄉,4082,162.4332,25.1303305
114,花蓮縣瑞穗鄉,10388,135.5862,76.61546677
114,花蓮縣富里鄉,9386,176.3705,53.21751653
114,花蓮縣秀林鄉,17178,1641.8555,10.46255289
114,花蓮縣萬榮鄉,6047,618.491,9.777021816
114,花蓮縣卓溪鄉,5851,1021.313,5.728899955
114,澎湖縣馬公市,63282,33.9918,1861.684289
114,澎湖縣湖西鄉,16131,33.3008,484.4027771
114,澎湖縣白沙鄉,10084,20.0875,502.0037337
114,澎湖縣西嶼鄉,8039,18.7148,429.553081
114,澎湖縣望安鄉,5266,13.7824,382.0814952
114,澎湖縣七美鄉,3914,6.9868,560.1992328
114,基隆市中正區,51542,10.2118,5047.298224
114,基隆市七堵區,52169,56.2659,927.1868041
114,基隆市暖暖區,38462,22.8283,1684.838556
114,基隆市仁愛區,39689,4.2335,9374.985237
114,基隆市中山區,45556,10.5238,4328.854596
114,基隆市安樂區,79850,18.025,4429.958391
114,基隆市信義區,52568,10.6706,4926.433378
114,新竹市東區,222219,33.5768,6618.230445
114,新竹市北區,153915,15.7267,9786.85929
114,新竹市香山區,79606,54.8491,1451.363833
114,嘉義市東區,116567,30.1556,3865.517516
114,嘉義市西區,145025,29.87,4855.205892
114,金門縣金城鎮,40998,21.713,1888.177589
114,金門縣金湖鎮,30545,41.696,732.5642748
114,金門縣金沙鎮,19840,41.19,481.6703083
114,金門縣金寧鄉,35287,29.854,1181.985664
114,金門縣烈嶼鄉,12050,16.003,752.9838155
114,金門縣烏坵鄉,593,1.2,494.1666667
114,連江縣南竿鄉,7629,10.4,733.5576923
114,連江縣北竿鄉,2930,9.9,295.959596
114,連江縣莒光鄉,1537,4.7,327.0212766
114,連江縣東引鄉,1525,3.8,401.3157895
114,東沙群島,… ,2.38,… 
114,南沙群島,… ,0.5045,… 
